Item,Product Link,Supplier,Price,Quantity
ESP32-C6 module,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32C6-p-5884.html,Seeed Studio,$5.20 USD,1
ePaper Driver board,https://www.seeedstudio.com/ePaper-breakout-Board-for-XIAO-V2-p-6374.html,Seeed Studio,$4.90 USD,1
2.13" ePaper Display,https://www.seeedstudio.com/2-13-Monochrome-ePaper-Display-with-122x250-Pixels-p-5778.html,Seeed Studio,$6.50 USD,1
LiPo Battery,https://shopee.sg/Rechargeable-Battery-602020-Battery-180mAh-Li-Polymer-3.7V-For-Replacement-Bluetooth-Device-Toys-Watch-Beauty-Equipment-i.212115178.28254519029,Shopee,$6.43 SGD,1
3D Printed Casing,N/A,N/A,$0,1
Wireless Doorbell,https://shopee.sg/SMATRUL-Wireless-Doorbells-Door-Bell-Ring-62-Chimes-110db-Battery-Door-Bell-Ring-Alarm-Button-Transmitter-Calling-Home-bell-IP44-Waterproof-UK-Plug-100-250V-i.116701656.1792922282,Shopee,$10.19 SGD,1
Wireless receiver Button,https://shopee.sg/product/1107145475/24708021201?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVnpJRUtsWlZWd2FPdGhtMVhyYVdsQ0MxRVNyTkwyRHJHTGtkcVNzQjNxdGtHRXp5Zk9PQkNkZmhVRHJkMTRBM2Jpa1BpYmlJbmhwckw5Qi9LTEJPNmZCVmI1ZWFOanhIYkI2eFZCS0ZZd3pvZjJtaDNkTTBpODM0UmRDbmtCb1l3PT0&gad_source=4&gad_campaignid=22604014007&gbraid=0AAAAADPpRQQWl-mH7nB4eMl76lK6CgPnT&gclid=Cj0KCQjwv-LOBhCdARIsAM5hdKdOWW4FLUmnIGw5ea6nEDsfSq4l4-6FOgpReghASqsR7H3esKFbM04aAjSaEALw_wcB,Shopee,$3.58 SGD,1
433MHz Superheterodyne Module,https://shopee.sg/product/1107145475/25661343069?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVnpJRUtsWlZWd2FPdGhtMVhyYVdsQ0MxRVNyTkwyRHJHTGtkcVNzQjNxdDB0SlJRcDYvd2ZkUGRqL29rQkphVmRuYkN5TXNnTTNEYkoyNXA2VHhrYS9EdVJSZTZiRUVuT00rZVo0WEFMSnovK01XR3VwTTAxbFF3OEFqK1EyR2h3PT0,Shopee,$3.05 SGD,1
Push Button,https://shopee.sg/KENTON-Push-Button-Switch-20Pcs-Lot-ON-OFF-Keys-Mini-Micro-Momentary-Switch-Accessories-Tactile-Plush-Button-i.455466453.23148962418?extraParams=%7B%22display_model_id%22%3A158293405618%2C%22model_selection_logic%22%3A3%7D&sp_atk=9d618592-125e-497d-a42b-8bc67139ba49&xptdk=9d618592-125e-497d-a42b-8bc67139ba49,Shopee,$1.98 SGD,1
Male to Female Jumper Wires,https://shopee.sg/ENGLAB-10cm-20cm-30cm-40Pins-Jumper-Wire-DuPont-Wire-(Male-Female-M-M-F-F)-For-DIY-Breadboard-Arduino-Raspberry-Pi-Multiple-Options-40Pins-i.1236847507.16999947193?extraParams=%7B%22display_model_id%22%3A147269220687%2C%22model_selection_logic%22%3A3%7D&sp_atk=f7101a09-f681-4c08-b54f-b65db3a75416&xptdk=f7101a09-f681-4c08-b54f-b65db3a75416,Shopee,$1.64 SGD,1
